recall_number,status,classification,state,country,recalling_firm,product_description,reason_for_recall,voluntary_mandated,recall_initiation_date,report_date,termination_date
F-0609-2019,Terminated,Class I,VA,United States,"Ukrop's Homestyle Foods, LLC","Ukrop's Cuban Style Sub,  NET WT 8.3 OZ (235g),   UPC 72251525152",The products may have come into contact with equipment used to process the country ham the supplier recalled for Listeria monocytogenes.,Voluntary: Firm initiated,20181004,20181121,20200626
F-0857-2020,Terminated,Class II,ID,United States,Winco Foods Llc,"WinCo Foods frozen Berry Medley (Strawberries, Blackberries, Raspberries and Blueberries), item# 107412, packaged in polyethylene bags. Product is distributed by WinCo Foods, LLC, Boise, ID 83704.    Net weight 16 oz (1 lb or 454 g).  UPC 70552 30522.  Net weight  32 oz (2 lb or 907 g). UPC 70552 30512.    The label is read in parts: ""***WinCo FOODS*** Berry Medley***strawberries, blackberries, raspberries $ blueberries***KEEP FROZEN***"".",The product was found to be adulterated with Norovirus.,Voluntary: Firm initiated,20200313,20200401,20200520
F-2240-2012,Terminated,Class I,WI,United States,"Garden-Fresh Foods, Inc.","Dairy Fresh Special  Recipe Mustard Potato Salad, 16 oz.., 0 70163 98105 8","Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",Voluntary: Firm initiated,20120727,20120919,20121115
F-0206-2025,Terminated,Class II,IL,United States,Treehouse Foods,GOOD & GATHER	12/9oz GRDL WFL MINI HSTYLE ORG-GDGTR	UPC	085239343029 H-E-B	12/9oz GRDL WFL MINI HSTYLE ORG-HEBUT	UPC	041220708413 365 ORGANIC	12/9oz GRDL WFL MINI HSTYLE ORG - 365OR	UPC	099482436995 WEGMANS	12/9oz GRDL WFL MINI HSTYLE ORG - WEGMN	UPC	077890481448,potential to be contaminated with Listeria monocytogenes,Voluntary: Firm initiated,20241017,20241204,20250811
F-1583-2019,Terminated,Class I,OH,United States,Brand Castle LLC,"Chocolate Mint Chip Cookie Mix, 27.1 oz glass jar, 6/case",Firm's supplier notified them of potential E.coli contamination in flour they received.,Voluntary: Firm initiated,20190617,20190731,20191204
F-0921-2021,Terminated,Class I,NV,United States,Able Groupe Inc,Lebenswert Anfangsmilch Stage 1 Organic Infant Milk Formula,"The required pre-market notifications for these new  infant formulas have not been submitted to the FDA. Some products contain less than 1 milligram of iron per 100 Calories and may not provide adequate iron for some infants, particularly infants born prematurely or with a low birth weight, had low iron levels at birth, or are at risk for becoming iron deficient due to illness. All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.",Voluntary: Firm initiated,20210808,20210825,20210908
F-2768-2015,Terminated,Class II,NY,United States,Fine Land Corp,"Fruit Juice Candy Bonbons de Jus de Fruits, Net Wt 8 oz (227g), UPC Code 6 923648 832113, Manufacturer. Jin Shun FA Food Co., Ltd. 147 community shops Southwest District Luoshan Street Jinjiang of Fujian, Sole Agent of U.S.A.: Fine Land Corp. 376 Vernon Ave, Brooklyn, NY 11206, Sole Agent of Canada: PT Trading Enterprises Ltd. 928 Kingsway, Vancouver, B.C. V5V 3C4.  Product of P.R.C.",The Florida Dept of Agriculture sample tested positive for lead at concentration of 0.226 ppm (ug/g).,Voluntary: Firm initiated,20150511,20150701,20170328
F-1177-2023,Terminated,Class I,IL,United States,"Newly Weds Foods, Inc.",G96378	LOTTA ZING SAUCE MIX    X2	15.00	CASE,Products may contain Salmonella,Voluntary: Firm initiated,20230526,20230712,20240723
F-0232-2013,Terminated,Class II,MI,United States,Spartan Central Kitchen,#333 Caribbean Fruit Salad	5 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination.  All lots with sell by dates on or befo",Voluntary: Firm initiated,20120910,20121024,20130219
F-0415-2019,Terminated,Class II,FL,United States,NUTRANEXT BUSINESS LLC,Parasite Cleansing Kit Peppermint,"Routine quality testing identified elevated levels of lead above applicable 2232 levels, which may pose potential health risks to a portion of the population.",Voluntary: Firm initiated,20181001,20181114,20190702
